archivo;veredicto;porcentaje;corte_inicio_hz;corte_fin_hz;anchura_hz;caida_db;detalle
E:\Musica\0_Over-Drive_Madrid_[19930917_19950422]\Emmanuel Top - Tone [1995].flac;LOSSLESS;92;20156;20282;126;16.6;corte abrupto en 20.2 kHz pero con siseo/señal por encima (caída de solo 17 dB) — un códec deja silencio digital, esto es un filtro de conversor
E:\Musica\0_Over-Drive_Madrid_[19930917_19950422]\Emmanuel Top - Turkish Bazar [1994].flac;LOSSLESS;98;21630;21630;0;15.1;corte abrupto en 21.6 kHz pero con siseo/señal por encima (caída de solo 15 dB) — filtro digital de la época, no códec
E:\Musica\0_Over-Drive_Madrid_[19930917_19950422]\Energy 52 - Café Del Mar (DJ Kid Paul Mix) [1994].flac;LOSSLESS;99;20098;21722;1624;71.8;caída progresiva de 1.6 kHz desde 20.1 kHz — típica de filtro antialiasing o remuestreo, no de un códec
E:\Musica\0_Over-Drive_Madrid_[19930917_19950422]\Espiral - Dunne [1991].flac;LOSSLESS;97;16322;21443;5121;49.9;caída progresiva de 5.1 kHz desde 16.3 kHz — típica de filtro antialiasing o remuestreo, no de un códec
E:\Musica\0_Over-Drive_Madrid_[19930917_19950422]\Exit EEE - Atrax [1992].flac;LOSSLESS;100;22050;22050;0;11.4;corte abrupto en 22.1 kHz pero con siseo/señal por encima (caída de solo 11 dB) — filtro digital de la época, no códec
E:\Musica\0_Over-Drive_Madrid_[19930917_19950422]\Exit EEE - Epidemic (Straight From Heaven mix) [1993].flac;LOSSLESS;96;19984;21271;1287;51.2;caída progresiva de 1.3 kHz desde 20.0 kHz — típica de filtro antialiasing o remuestreo, no de un códec
E:\Musica\0_Over-Drive_Madrid_[19930917_19950422]\Format - Solid Session [1991].flac;LOSSLESS;82;17802;18079;277;26.6;corte abrupto en 17.8 kHz pero con siseo/señal por encima (caída de solo 27 dB) — un códec deja silencio digital, esto es un filtro de conversor
E:\Musica\0_Over-Drive_Madrid_[19930917_19950422]\Fraktal - Die Reise (Radio Version) [1995].flac;LOSSLESS;95;17786;20982;3196;37.9;caída progresiva de 3.2 kHz desde 17.8 kHz — típica de filtro antialiasing o remuestreo, no de un códec
E:\Musica\0_Over-Drive_Madrid_[19930917_19950422]\Franky Jones - The First Rebirth (Remastered Original Mix) [1993].flac;LOSSLESS;98;20382;21699;1317;47.5;caída progresiva de 1.3 kHz desde 20.4 kHz — típica de filtro antialiasing o remuestreo, no de un códec
E:\Musica\0_Over-Drive_Madrid_[19930917_19950422]\Front 242 - Headhunter V3.0 [1988].flac;LOSSLESS;87;17371;19239;1868;31.2;caída progresiva de 1.9 kHz desde 17.4 kHz — típica de filtro antialiasing o remuestreo, no de un códec
E:\Musica\0_Over-Drive_Madrid_[19930917_19950422]\Front 242 - Tragedy For You [1991].flac;LOSSLESS;97;20498;21385;887;36.9;corte en 20.5 kHz con transición intermedia (887 Hz) pero sin silencio profundo debajo (caída de 37 dB) — perfil de conversor, no de códec
E:\Musica\0_Over-Drive_Madrid_[19930917_19950422]\Fun Factory Pres. Michel - The Fisherman [1994].flac;LOSSLESS;78;15500;17295;1795;26.4;caída progresiva de 1.8 kHz desde 15.5 kHz — típica de filtro antialiasing o remuestreo, no de un códec
E:\Musica\0_Over-Drive_Madrid_[19930917_19950422]\Fun Factory pres. Michel - Fisher In Trance [1994].flac;LOSSLESS;77;16380;16891;511;23.2;corte abrupto en 16.4 kHz pero con siseo/señal por encima (caída de solo 23 dB) — un códec deja silencio digital, esto es un filtro de conversor
E:\Musica\0_Over-Drive_Madrid_[19930917_19950422]\Genlog - Eiskalt [1994].flac;LOSSLESS;94;19931;20786;855;23.5;corte en 19.9 kHz con transición intermedia (855 Hz) pero sin silencio profundo debajo (caída de 23 dB) — perfil de conversor, no de códec
E:\Musica\0_Over-Drive_Madrid_[19930917_19950422]\Genlog - It Feels So [1993].flac;LOSSLESS;94;19749;20741;992;19.3;corte en 19.7 kHz con transición intermedia (992 Hz) pero sin silencio profundo debajo (caída de 19 dB) — perfil de conversor, no de códec
E:\Musica\0_Over-Drive_Madrid_[19930917_19950422]\Genlog - Mockmoon (Remix) [1993].flac;LOSSLESS;98;19724;21681;1957;37.9;caída progresiva de 2.0 kHz desde 19.7 kHz — típica de filtro antialiasing o remuestreo, no de un códec
E:\Musica\0_Over-Drive_Madrid_[19930917_19950422]\Genlog - Poison [1993].flac;LOSSLESS;98;17224;21636;4412;45.5;caída progresiva de 4.4 kHz desde 17.2 kHz — típica de filtro antialiasing o remuestreo, no de un códec
E:\Musica\0_Over-Drive_Madrid_[19930917_19950422]\God's Groove - Prayer Five (We Can Fly Remix) [1993].flac;LOSSLESS;99;16082;21721;5639;49.6;caída progresiva de 5.6 kHz desde 16.1 kHz — típica de filtro antialiasing o remuestreo, no de un códec
E:\Musica\0_Over-Drive_Madrid_[19930917_19950422]\House Pimps - Get The Hook (Acido's Trancy Treatment) [1993].flac;LOSSLESS;100;22050;22050;0;13.1;corte abrupto en 22.1 kHz pero con siseo/señal por encima (caída de solo 13 dB) — filtro digital de la época, no códec
E:\Musica\0_Over-Drive_Madrid_[19930917_19950422]\Hyper Space - Natural System (Technologik Mixx) [1993].flac;LOSSLESS;85;15763;18685;2922;34.2;caída progresiva de 2.9 kHz desde 15.8 kHz — típica de filtro antialiasing o remuestreo, no de un códec
E:\Musica\0_Over-Drive_Madrid_[19930917_19950422]\Hypnotica - Impacto [1994].flac;LOSSLESS;96;19576;21072;1496;36.7;caída progresiva de 1.5 kHz desde 19.6 kHz — típica de filtro antialiasing o remuestreo, no de un códec
